
Root grid = 2 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 16
  Rank = 0: 1 MeshBlocks, cost = 1
  Rank = 1: 1 MeshBlocks, cost = 1
  Rank = 2: 1 MeshBlocks, cost = 1
  Rank = 3: 1 MeshBlocks, cost = 1
  Rank = 4: 1 MeshBlocks, cost = 1
  Rank = 5: 1 MeshBlocks, cost = 1
  Rank = 6: 1 MeshBlocks, cost = 1
  Rank = 7: 1 MeshBlocks, cost = 1
  Rank = 8: 1 MeshBlocks, cost = 1
  Rank = 9: 1 MeshBlocks, cost = 1
  Rank = 10: 1 MeshBlocks, cost = 1
  Rank = 11: 1 MeshBlocks, cost = 1
  Rank = 12: 1 MeshBlocks, cost = 1
  Rank = 13: 1 MeshBlocks, cost = 1
  Rank = 14: 1 MeshBlocks, cost = 1
  Rank = 15: 1 MeshBlocks, cost = 1
Load Balancing:
  Maximum normalized cost = 1, Average = 1

Setup complete, executing task list(s)...

elapsed=4.279468e+04 cycle=104000 time=5.446383e-02 dt=1.043954e-21
elapsed=4.320399e+04 cycle=105000 time=5.446383e-02 dt=1.047683e-21
elapsed=4.361326e+04 cycle=106000 time=5.446383e-02 dt=1.048021e-21
elapsed=4.402264e+04 cycle=107000 time=5.446383e-02 dt=1.048853e-21
elapsed=4.443202e+04 cycle=108000 time=5.446383e-02 dt=1.049612e-21
elapsed=4.484136e+04 cycle=109000 time=5.446383e-02 dt=1.050035e-21
elapsed=4.525065e+04 cycle=110000 time=5.446383e-02 dt=1.050167e-21
elapsed=4.565983e+04 cycle=111000 time=5.446383e-02 dt=1.050256e-21
elapsed=4.606895e+04 cycle=112000 time=5.446383e-02 dt=1.050453e-21
elapsed=4.647797e+04 cycle=113000 time=5.446383e-02 dt=1.050714e-21
elapsed=4.688689e+04 cycle=114000 time=5.446383e-02 dt=1.051113e-21
elapsed=4.729575e+04 cycle=115000 time=5.446383e-02 dt=1.051790e-21
elapsed=4.770463e+04 cycle=116000 time=5.446383e-02 dt=1.052102e-21
elapsed=4.811353e+04 cycle=117000 time=5.446383e-02 dt=1.052424e-21
elapsed=4.852242e+04 cycle=118000 time=5.446383e-02 dt=1.052673e-21
elapsed=4.893133e+04 cycle=119000 time=5.446383e-02 dt=1.053107e-21
elapsed=4.934035e+04 cycle=120000 time=5.446383e-02 dt=1.053671e-21
elapsed=4.974937e+04 cycle=121000 time=5.446383e-02 dt=1.054031e-21
elapsed=5.015836e+04 cycle=122000 time=5.446383e-02 dt=1.054336e-21
elapsed=5.056736e+04 cycle=123000 time=5.446383e-02 dt=1.054699e-21
elapsed=5.097641e+04 cycle=124000 time=5.446383e-02 dt=1.055050e-21
elapsed=5.138550e+04 cycle=125000 time=5.446383e-02 dt=1.055368e-21
elapsed=5.179460e+04 cycle=126000 time=5.446383e-02 dt=1.055688e-21
elapsed=5.220366e+04 cycle=127000 time=5.446383e-02 dt=1.056002e-21
elapsed=5.261268e+04 cycle=128000 time=5.446383e-02 dt=1.056302e-21
elapsed=5.302168e+04 cycle=129000 time=5.446383e-02 dt=1.056599e-21
elapsed=5.343066e+04 cycle=130000 time=5.446383e-02 dt=1.056896e-21
elapsed=5.383958e+04 cycle=131000 time=5.446383e-02 dt=1.057202e-21
elapsed=5.424850e+04 cycle=132000 time=5.446383e-02 dt=1.057488e-21
elapsed=5.465741e+04 cycle=133000 time=5.446383e-02 dt=1.057768e-21
elapsed=5.506627e+04 cycle=134000 time=5.446383e-02 dt=1.058044e-21
elapsed=5.547519e+04 cycle=135000 time=5.446383e-02 dt=1.058323e-21
elapsed=5.588415e+04 cycle=136000 time=5.446383e-02 dt=1.058597e-21
elapsed=5.629304e+04 cycle=137000 time=5.446383e-02 dt=1.058862e-21
elapsed=5.670192e+04 cycle=138000 time=5.446383e-02 dt=1.059122e-21
elapsed=5.711085e+04 cycle=139000 time=5.446383e-02 dt=1.059381e-21
elapsed=5.751979e+04 cycle=140000 time=5.446383e-02 dt=1.059634e-21
elapsed=5.792878e+04 cycle=141000 time=5.446383e-02 dt=1.059883e-21
elapsed=5.833777e+04 cycle=142000 time=5.446383e-02 dt=1.060128e-21
elapsed=5.874673e+04 cycle=143000 time=5.446383e-02 dt=1.060369e-21
elapsed=5.915566e+04 cycle=144000 time=5.446383e-02 dt=1.060605e-21
elapsed=5.956458e+04 cycle=145000 time=5.446383e-02 dt=1.060838e-21
elapsed=5.997351e+04 cycle=146000 time=5.446383e-02 dt=1.061066e-21
elapsed=6.038242e+04 cycle=147000 time=5.446383e-02 dt=1.061291e-21
elapsed=6.079129e+04 cycle=148000 time=5.446383e-02 dt=1.061510e-21
elapsed=6.120014e+04 cycle=149000 time=5.446383e-02 dt=1.061726e-21
elapsed=6.160899e+04 cycle=150000 time=5.446383e-02 dt=1.061937e-21
elapsed=6.201794e+04 cycle=151000 time=5.446383e-02 dt=1.062144e-21
elapsed=6.242681e+04 cycle=152000 time=5.446383e-02 dt=1.062346e-21
elapsed=6.283569e+04 cycle=153000 time=5.446383e-02 dt=1.062544e-21
elapsed=6.324456e+04 cycle=154000 time=5.446383e-02 dt=1.062738e-21
elapsed=6.365348e+04 cycle=155000 time=5.446383e-02 dt=1.062928e-21
elapsed=6.406234e+04 cycle=156000 time=5.446383e-02 dt=1.063113e-21
elapsed=6.447119e+04 cycle=157000 time=5.446383e-02 dt=1.063294e-21
elapsed=6.488003e+04 cycle=158000 time=5.446383e-02 dt=1.063471e-21
elapsed=6.528889e+04 cycle=159000 time=5.446383e-02 dt=1.063645e-21
elapsed=6.569771e+04 cycle=160000 time=5.446383e-02 dt=1.063814e-21
elapsed=6.610653e+04 cycle=161000 time=5.446383e-02 dt=1.063979e-21
elapsed=6.651534e+04 cycle=162000 time=5.446383e-02 dt=1.064141e-21
elapsed=6.692414e+04 cycle=163000 time=5.446383e-02 dt=1.064299e-21
elapsed=6.733294e+04 cycle=164000 time=5.446383e-02 dt=1.064454e-21
elapsed=6.774177e+04 cycle=165000 time=5.446383e-02 dt=1.064606e-21
elapsed=6.815056e+04 cycle=166000 time=5.446383e-02 dt=1.064754e-21
elapsed=6.855941e+04 cycle=167000 time=5.446383e-02 dt=1.064899e-21
elapsed=6.896821e+04 cycle=168000 time=5.446383e-02 dt=1.065041e-21
elapsed=6.937701e+04 cycle=169000 time=5.446383e-02 dt=1.065180e-21
elapsed=6.978582e+04 cycle=170000 time=5.446383e-02 dt=1.065316e-21
elapsed=7.019463e+04 cycle=171000 time=5.446383e-02 dt=1.065450e-21
elapsed=7.060344e+04 cycle=172000 time=5.446383e-02 dt=1.065580e-21
elapsed=7.101231e+04 cycle=173000 time=5.446383e-02 dt=1.065709e-21
elapsed=7.142114e+04 cycle=174000 time=5.446383e-02 dt=1.065834e-21
elapsed=7.182994e+04 cycle=175000 time=5.446383e-02 dt=1.065958e-21
elapsed=7.223880e+04 cycle=176000 time=5.446383e-02 dt=1.066079e-21
elapsed=7.264764e+04 cycle=177000 time=5.446383e-02 dt=1.066198e-21
elapsed=7.305647e+04 cycle=178000 time=5.446383e-02 dt=1.066314e-21
elapsed=7.346533e+04 cycle=179000 time=5.446383e-02 dt=1.066429e-21
elapsed=7.387412e+04 cycle=180000 time=5.446383e-02 dt=1.066542e-21
elapsed=7.428294e+04 cycle=181000 time=5.446383e-02 dt=1.066652e-21
elapsed=7.469176e+04 cycle=182000 time=5.446383e-02 dt=1.066761e-21
elapsed=7.510059e+04 cycle=183000 time=5.446383e-02 dt=1.066868e-21
elapsed=7.550941e+04 cycle=184000 time=5.446383e-02 dt=1.066973e-21
elapsed=7.591830e+04 cycle=185000 time=5.446383e-02 dt=1.067077e-21
elapsed=7.632718e+04 cycle=186000 time=5.446383e-02 dt=1.067179e-21
elapsed=7.673610e+04 cycle=187000 time=5.446383e-02 dt=1.067279e-21
elapsed=7.714504e+04 cycle=188000 time=5.446383e-02 dt=1.067377e-21
elapsed=7.755398e+04 cycle=189000 time=5.446383e-02 dt=1.067475e-21
elapsed=7.796294e+04 cycle=190000 time=5.446383e-02 dt=1.067570e-21
elapsed=7.837190e+04 cycle=191000 time=5.446383e-02 dt=1.067665e-21
elapsed=7.878084e+04 cycle=192000 time=5.446383e-02 dt=1.067758e-21
elapsed=7.918984e+04 cycle=193000 time=5.446383e-02 dt=1.067849e-21
elapsed=7.959884e+04 cycle=194000 time=5.446383e-02 dt=1.067939e-21
elapsed=8.000783e+04 cycle=195000 time=5.446383e-02 dt=1.068029e-21
elapsed=8.041683e+04 cycle=196000 time=5.446383e-02 dt=1.068116e-21
elapsed=8.082587e+04 cycle=197000 time=5.446383e-02 dt=1.068203e-21
elapsed=8.123497e+04 cycle=198000 time=5.446383e-02 dt=1.068289e-21
elapsed=8.164401e+04 cycle=199000 time=5.446383e-02 dt=1.068373e-21
elapsed=8.205308e+04 cycle=200000 time=5.446383e-02 dt=1.068456e-21
elapsed=8.246216e+04 cycle=201000 time=5.446383e-02 dt=1.068539e-21
elapsed=8.287132e+04 cycle=202000 time=5.446383e-02 dt=1.068620e-21
elapsed=8.328050e+04 cycle=203000 time=5.446383e-02 dt=1.068700e-21
elapsed=8.368967e+04 cycle=204000 time=5.446383e-02 dt=1.068780e-21
elapsed=8.409891e+04 cycle=205000 time=5.446383e-02 dt=1.068858e-21
elapsed=8.450826e+04 cycle=206000 time=5.446383e-02 dt=1.068936e-21
elapsed=8.491758e+04 cycle=207000 time=5.446383e-02 dt=1.069012e-21
elapsed=8.532698e+04 cycle=208000 time=5.446383e-02 dt=1.069088e-21
elapsed=8.573649e+04 cycle=209000 time=5.446383e-02 dt=1.069163e-21
elapsed=8.614620e+04 cycle=210000 time=5.446383e-02 dt=1.069237e-21
